usageKey,scientificName,canonicalName,authorship,rank,code,status,genericName,specificEpithet,type,formattedName,matchType,confidence,kingdom,phylum,class,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,value,easin_scientificName,easin_kingdom,easin_EASINID,is_alternative,infraspecificEpithet,variety,varietyKey,subspecies,subspeciesKey,processingFlags,note,form,formKey,easin_Name,easin_Authorship,easin_FirstIntroductionsInEU,easin_PresentInCountries,easin_Status,easin_HasImpact,easin_IsEUConcern,easin_EUConcernName,easin_IsOutermostConcern,easin_ConcernedOutermostRegions,easin_IsMSConcern,easin_ConcernedMS,easin_IsPartNative,easin_NativeRange,easin_IsHorizonScanning,easin_LastRevisionDate,easin_Phylum,easin_Class,easin_Order,easin_Family,easin_ImpactSources,easin_ImpactOnSectors,easin_CommonNames,easin_Synonyms,easin_CBD_Pathways
2685308,Abies procera Rehd.,Abies procera,Rehd.,SPECIES,NA,ACCEPTED,Abies,procera,SCIENTIFIC,<i>Abies</i> <i>procera</i> Rehd.,EXACT,100,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies procera,6,7707728,194,640,3925,2684876,2685308,FALSE,Abies procera Rehder,Plantae,R00015,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abies procera,Rehder,NA,NA,A,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,Tracheophyta,Pinopsida,Pinales,Pinaceae,NA,NA,NA,NA,NA
2685654,Abies sibirica Ledeb.,Abies sibirica,Ledeb.,SPECIES,NA,ACCEPTED,Abies,sibirica,SCIENTIFIC,<i>Abies</i> <i>sibirica</i> Ledeb.,EXACT,100,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies sibirica,6,7707728,194,640,3925,2684876,2685654,FALSE,Abies sibirica Ledeb.,Plantae,R00016,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abies sibirica,Ledeb.,NA,NA,A,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,NA,FALSE,NA,Tracheophyta,Pinopsida,Pinales,Pinaceae,NA,NA,NA,NA,NA
2685400,Abies veitchii Lindl.,Abies veitchii,Lindl.,SPECIES,NA,ACCEPTED,Abies,veitchii,SCIENTIFIC,<i>Abies</i> <i>veitchii</i> Lindl.,EXACT,100,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies veitchii,6,7707728,194,640,3925,2684876,2685400,FALSE,Abies veitchii Lindl.,Plantae,R00017,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abies veitchii,Lindl.,NA,NA,A,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,Tracheophyta,Pinopsida,Pinales,Pinaceae,NA,NA,NA,NA,NA
2369165,"Ablennes hians (Valenciennes, 1846)",Ablennes hians,"(Valenciennes, 1846)",SPECIES,ZOOLOGICAL,ACCEPTED,Ablennes,hians,SCIENTIFIC,"<i>Ablennes</i> <i>hians</i> (Valenciennes, 1846)",EXACT,100,Animalia,Chordata,NA,Beloniformes,Belonidae,Ablennes,Ablennes hians,1,44,NA,498,7190,2369164,2369165,FALSE,"Ablennes hians (Valenciennes, 1846)",Animalia,R20136,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ablennes hians,"(Valenciennes, 1846)",NA,NA,A,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,Chordata,Actinopterygii,Beloniformes,Belonidae,NA,NA,NA,NA,NA
1364478,"Ablerus chionaspidis (Howard, 1914)",Ablerus chionaspidis,"(Howard, 1914)",SPECIES,ZOOLOGICAL,ACCEPTED,Ablerus,chionaspidis,SCIENTIFIC,"<i>Ablerus</i> <i>chionaspidis</i> (Howard, 1914)",EXACT,100,Animalia,Arthropoda,Insecta,Hymenoptera,Aphelinidae,Ablerus,Ablerus chionaspidis,1,54,216,1457,5503,1364463,1364478,FALSE,"Ablerus chionaspidis (Howard, 1914)",Animalia,R16884,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ablerus chionaspidis,"(Howard, 1914)",NA,NA,A,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,Arthropoda,Insecta,Hymenoptera,Aphelinidae,NA,NA,NA,NA,NA
1364517,"Ablerus clisiocampae (Ashmead, 1894)",Ablerus clisiocampae,"(Ashmead, 1894)",SPECIES,ZOOLOGICAL,ACCEPTED,Ablerus,clisiocampae,SCIENTIFIC,"<i>Ablerus</i> <i>clisiocampae</i> (Ashmead, 1894)",EXACT,100,Animalia,Arthropoda,Insecta,Hymenoptera,Aphelinidae,Ablerus,Ablerus clisiocampae,1,54,216,1457,5503,1364463,1364517,FALSE,"Ablerus clisiocampae (Ashmead, 1894)",Animalia,R16885,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ablerus clisiocampae,"(Ashmead, 1894)",NA,NA,A,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,Arthropoda,Insecta,Hymenoptera,Aphelinidae,NA,NA,NA,NA,NA
1364531,"Ablerus perspeciosus Girault, 1916",Ablerus perspeciosus,"Girault, 1916",SPECIES,ZOOLOGICAL,ACCEPTED,Ablerus,perspeciosus,SCIENTIFIC,"<i>Ablerus</i> <i>perspeciosus</i> Girault, 1916",EXACT,100,Animalia,Arthropoda,Insecta,Hymenoptera,Aphelinidae,Ablerus,Ablerus perspeciosus,1,54,216,1457,5503,1364463,1364531,FALSE,"Ablerus perspeciosus Girault, 1916",Animalia,R00022,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ablerus perspeciosus,"Girault, 1916",NA,NA,A,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,Arthropoda,Insecta,Hymenoptera,Aphelinidae,NA,NA,NA,NA,NA
9809222,"Abramis brama (Linnaeus, 1758)",Abramis brama,"(Linnaeus, 1758)",SPECIES,ZOOLOGICAL,ACCEPTED,Abramis,brama,SCIENTIFIC,"<i>Abramis</i> <i>brama</i> (Linnaeus, 1758)",EXACT,100,Animalia,Chordata,NA,Cypriniformes,Cyprinidae,Abramis,Abramis brama,1,44,NA,1153,7336,2363407,9809222,FALSE,"Abramis brama (Linnaeus, 1758)",Animalia,R00024,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abramis brama,"(Linnaeus, 1758)",NA,NA,A,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,NA,FALSE,NA,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,NA,NA,NA,NA,NA
5384889,Abronia fragrans Nutt. ex Hook.,Abronia fragrans,Nutt. ex Hook.,SPECIES,NA,ACCEPTED,Abronia,fragrans,SCIENTIFIC,<i>Abronia</i> <i>fragrans</i> Nutt. ex Hook.,EXACT,100,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Nyctaginaceae,Abronia,Abronia fragrans,6,7707728,220,422,6718,3086103,5384889,FALSE,Abronia fragrans Nutt. ex Hook.,Plantae,R00026,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abronia fragrans,Nutt. ex Hook.,NA,NA,A,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,Tracheophyta,Magnoliopsida,Caryophyllales,Nyctaginaceae,NA,NA,NA,NA,NA
2398623,"Abudefduf saxatilis (Linnaeus, 1758)",Abudefduf saxatilis,"(Linnaeus, 1758)",SPECIES,ZOOLOGICAL,ACCEPTED,Abudefduf,saxatilis,SCIENTIFIC,"<i>Abudefduf</i> <i>saxatilis</i> (Linnaeus, 1758)",EXACT,100,Animalia,Chordata,NA,Perciformes,Pomacentridae,Abudefduf,Abudefduf saxatilis,1,44,NA,587,4499,2398621,2398623,FALSE,"Abudefduf cf. saxatilis (Linnaeus, 1758)",Animalia,R20210,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abudefduf cf. saxatilis,"(Linnaeus, 1758)",NA,NA,A,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,Chordata,Actinopterygii,Perciformes,Pomacentridae,NA,NA,NA,NA,NA
